method,duration_clock,duration_mono,duration_sys,n_mpi,x_grid_cuda,y_grid_cuda,x_block_cuda,y_block_cuda,n_threads,interaction
ompi,4.564496,13.778193 ,13.778191,128,,,,,,6
ompi,4.610029,14.694805 ,14.694803,128,,,,,,7
ompi,4.701504,16.079541 ,16.079539,128,,,,,,8
ompi,4.608763,14.304103 ,14.304100,128,,,,,,9
ompi,5.078053,15.892985 ,15.892983,128,,,,,,10
ompi,4.569860,14.703756 ,14.703754,128,,,,,,11
ompi,5.120212,16.020908 ,16.020918,128,,,,,,12
ompi,4.758248,15.028074 ,15.028072,128,,,,,,13
ompi,4.632461,15.493031 ,15.493028,128,,,,,,14
ompi,4.704792,15.842826 ,15.842823,128,,,,,,15
pth,27.962630,16.259057 ,16.259056,,,,,,2,1
pth,27.735497,16.270398 ,16.270395,,,,,,2,2
pth,27.395393,15.958810 ,15.958810,,,,,,2,3
pth,27.109761,15.638564 ,15.638563,,,,,,2,4
pth,27.340283,16.002093 ,16.002092,,,,,,2,5
pth,27.649216,16.378558 ,16.378557,,,,,,2,6
pth,27.887468,16.399298 ,16.399298,,,,,,2,7
pth,27.320524,16.166926 ,16.166924,,,,,,2,8
pth,26.396959,15.501281 ,15.501281,,,,,,2,9
pth,26.785730,15.777668 ,15.777666,,,,,,2,10
pth,27.521887,16.125270 ,16.125269,,,,,,2,11
pth,26.698953,15.203883 ,15.203882,,,,,,2,12
pth,27.605244,16.441756 ,16.441755,,,,,,2,13
pth,26.968409,15.822483 ,15.822481,,,,,,2,14
pth,27.289986,15.901322 ,15.901321,,,,,,2,15
pth,28.114222,9.498789 ,9.498787,,,,,,4,1
pth,27.745884,9.054018 ,9.054016,,,,,,4,2
pth,28.381628,9.740664 ,9.740662,,,,,,4,3
pth,27.101421,9.303172 ,9.303171,,,,,,4,4
pth,27.874249,9.489177 ,9.489175,,,,,,4,5
pth,28.134092,9.497506 ,9.497505,,,,,,4,6
pth,27.924759,9.534093 ,9.534092,,,,,,4,7
pth,27.641778,9.180704 ,9.180703,,,,,,4,8
pth,27.910729,9.391953 ,9.391951,,,,,,4,9
pth,27.644587,9.256741 ,9.256741,,,,,,4,10
pth,27.130874,9.126049 ,9.126048,,,,,,4,11
pth,27.640326,9.206778 ,9.206776,,,,,,4,12
pth,27.903728,9.545061 ,9.545060,,,,,,4,13
pth,26.784516,8.885584 ,8.885582,,,,,,4,14
pth,27.314261,9.364892 ,9.364891,,,,,,4,15
pth,29.479285,6.120787 ,6.120785,,,,,,8,1
pth,28.868791,5.813068 ,5.813066,,,,,,8,2
pth,29.465068,6.259756 ,6.259754,,,,,,8,3
pth,28.340224,6.174777 ,6.174775,,,,,,8,4
pth,27.884652,5.821394 ,5.821392,,,,,,8,5
pth,29.471120,6.224862 ,6.224861,,,,,,8,6
pth,29.203349,6.039867 ,6.039865,,,,,,8,7
pth,28.014680,5.987746 ,5.987745,,,,,,8,8
pth,29.242114,6.144178 ,6.144177,,,,,,8,9
pth,29.490947,6.512083 ,6.512082,,,,,,8,10
pth,27.661859,5.623309 ,5.623307,,,,,,8,11
pth,29.228180,5.994576 ,5.994574,,,,,,8,12
pth,28.156397,6.046799 ,6.046798,,,,,,8,13
pth,29.562685,6.341657 ,6.341655,,,,,,8,14
pth,28.207407,6.236834 ,6.236833,,,,,,8,15
pth,29.211649,4.188940 ,4.188938,,,,,,16,1
pth,31.466583,4.470091 ,4.470089,,,,,,16,2
pth,31.602321,4.594382 ,4.594381,,,,,,16,3
pth,32.256328,4.938925 ,4.938923,,,,,,16,4
pth,32.193461,4.822758 ,4.822757,,,,,,16,5
pth,31.552703,4.515547 ,4.515545,,,,,,16,6
pth,32.211134,4.906205 ,4.906204,,,,,,16,7
pth,31.783269,4.480239 ,4.480238,,,,,,16,8
pth,32.168401,4.948989 ,4.948987,,,,,,16,9
pth,32.146473,4.673514 ,4.673512,,,,,,16,10
pth,31.295311,4.175178 ,4.175177,,,,,,16,11
pth,31.772728,4.694967 ,4.694966,,,,,,16,12
pth,31.149962,4.251971 ,4.251969,,,,,,16,13
pth,30.172410,4.333286 ,4.333284,,,,,,16,14
pth,30.690129,4.834019 ,4.834018,,,,,,16,15
pth,40.764077,3.619680 ,3.619678,,,,,,32,1
pth,39.263275,3.902801 ,3.902800,,,,,,32,2
pth,37.687888,3.852438 ,3.852436,,,,,,32,3
pth,41.398790,3.888511 ,3.888509,,,,,,32,4
pth,37.811837,3.494672 ,3.494671,,,,,,32,5
pth,40.428896,3.799273 ,3.799272,,,,,,32,6
pth,35.536613,3.837141 ,3.837140,,,,,,32,7
pth,41.400555,3.798616 ,3.798614,,,,,,32,8
pth,37.318339,3.722489 ,3.722488,,,,,,32,9
pth,35.131028,3.554695 ,3.554693,,,,,,32,10
pth,38.342467,3.510997 ,3.510996,,,,,,32,11
pth,40.598890,3.235949 ,3.235949,,,,,,32,12
pth,43.600729,3.892677 ,3.892676,,,,,,32,13
pth,42.136241,3.841988 ,3.841986,,,,,,32,14
pth,37.243545,4.464444 ,4.464443,,,,,,32,15
pth,38.173562,3.399883 ,3.399882,,,,,,64,1
pth,37.544795,3.451634 ,3.451633,,,,,,64,2
pth,37.620838,3.455508 ,3.455507,,,,,,64,3
pth,37.515942,3.415806 ,3.415804,,,,,,64,4
pth,37.647131,3.410842 ,3.410841,,,,,,64,5
pth,40.947272,3.419087 ,3.419086,,,,,,64,6
pth,39.368870,3.199768 ,3.199767,,,,,,64,7
pth,37.480797,3.348775 ,3.348774,,,,,,64,8
pth,37.503044,3.271769 ,3.271767,,,,,,64,9
pth,37.199965,3.101375 ,3.101373,,,,,,64,10
pth,37.637140,3.435304 ,3.435303,,,,,,64,11
pth,37.897508,3.712268 ,3.712268,,,,,,64,12
pth,35.438693,3.274264 ,3.274262,,,,,,64,13
pth,38.032513,3.337136 ,3.337134,,,,,,64,14
pth,42.548247,3.059774 ,3.059772,,,,,,64,15
pth,38.336936,3.484356 ,3.484355,,,,,,128,1
pth,38.734907,3.442434 ,3.442432,,,,,,128,2
pth,38.858809,3.352005 ,3.352003,,,,,,128,3
pth,43.807241,3.312686 ,3.312685,,,,,,128,4
pth,37.381060,2.969113 ,2.969112,,,,,,128,5
pth,37.907702,2.916488 ,2.916487,,,,,,128,6
pth,37.452112,3.158666 ,3.158665,,,,,,128,7
pth,37.814254,3.484872 ,3.484870,,,,,,128,8
pth,38.741430,3.371865 ,3.371863,,,,,,128,9
pth,37.816449,3.475235 ,3.475234,,,,,,128,10
pth,37.747157,3.368279 ,3.368277,,,,,,128,11
pth,41.097940,3.132118 ,3.132116,,,,,,128,12
pth,40.381514,3.341091 ,3.341089,,,,,,128,13
pth,37.676621,3.915912 ,3.915910,,,,,,128,14
pth,43.799522,3.354942 ,3.354942,,,,,,128,15
cuda,133.641380,134.345292 ,134.345290,,1,1,2,2,,1
cuda,131.102971,131.857105 ,131.857104,,1,1,2,2,,2
cuda,133.696605,134.321741 ,134.321740,,1,1,2,2,,3
cuda,133.831790,134.440664 ,134.440663,,1,1,2,2,,4
cuda,131.390054,132.049093 ,132.049091,,1,1,2,2,,5
cuda,131.123450,131.786792 ,131.786791,,1,1,2,2,,6
cuda,132.050487,132.814797 ,132.814795,,1,1,2,2,,7
cuda,133.741685,134.380999 ,134.380998,,1,1,2,2,,8
cuda,132.929533,133.579074 ,133.579072,,1,1,2,2,,9
cuda,132.653731,133.401067 ,133.401064,,1,1,2,2,,10
cuda,131.064649,131.685931 ,131.685929,,1,1,2,2,,11
cuda,131.235453,131.923097 ,131.923095,,1,1,2,2,,12
cuda,132.896648,133.586399 ,133.586397,,1,1,2,2,,13
cuda,131.352844,132.632642 ,132.632639,,1,1,2,2,,14
cuda,131.352897,131.986737 ,131.986736,,1,1,2,2,,15
cuda,35.114752,35.649139 ,35.649137,,1,1,4,4,,1
cuda,34.333145,35.233048 ,35.233047,,1,1,4,4,,2
cuda,34.875229,35.626967 ,35.626966,,1,1,4,4,,3
cuda,34.414291,35.094448 ,35.094446,,1,1,4,4,,4
cuda,35.196924,35.760859 ,35.760857,,1,1,4,4,,5
cuda,34.438792,35.005426 ,35.005423,,1,1,4,4,,6
