size	region	delta_x	delta_y	duration_clock	duration_mono	duration_sys	threads	method	i_o
128	Full Picture	4.0	4.0	0.005135	0.01915	0.019149	4	pth	0
128	Full Picture	4.0	4.0	0.005624	0.017749	0.017748	4	pth	0
128	Full Picture	4.0	4.0	0.005684	0.004933	0.004931	4	pth	0
128	Full Picture	4.0	4.0	0.005635	0.003063	0.003059	4	pth	0
128	Full Picture	4.0	4.0	0.005503	0.003372	0.00337	4	pth	0
128	Full Picture	4.0	4.0	0.00556	0.003383	0.003381	4	pth	0
128	Full Picture	4.0	4.0	0.005497	0.004425	0.004423	4	pth	0
128	Full Picture	4.0	4.0	0.00496	0.005067	0.005065	4	pth	0
128	Full Picture	4.0	4.0	0.006022	0.003443	0.003441	8	pth	0
128	Full Picture	4.0	4.0	0.005962	0.003373	0.003371	8	pth	0
128	Full Picture	4.0	4.0	0.005871	0.003368	0.003365	8	pth	0
128	Full Picture	4.0	4.0	0.005915	0.003939	0.003935	8	pth	0
128	Full Picture	4.0	4.0	0.005394	0.004787	0.004785	8	pth	0
128	Full Picture	4.0	4.0	0.005944	0.004376	0.004373	8	pth	0
128	Full Picture	4.0	4.0	0.005665	0.003864	0.003862	8	pth	0
128	Full Picture	4.0	4.0	0.005589	0.003718	0.003716	8	pth	0
128	Full Picture	4.0	4.0	0.007091	0.004418	0.004416	8	pth	0
128	Full Picture	4.0	4.0	0.005589	0.003735	0.003733	8	pth	0
128	Full Picture	4.0	4.0	0.006115	0.005045	0.005042	16	pth	0
128	Full Picture	4.0	4.0	0.006777	0.004009	0.004007	16	pth	0
128	Full Picture	4.0	4.0	0.006071	0.005366	0.005364	16	pth	0
128	Full Picture	4.0	4.0	0.006087	0.005424	0.005423	16	pth	0
128	Full Picture	4.0	4.0	0.0062	0.012739	0.012737	16	pth	0
128	Full Picture	4.0	4.0	0.006485	0.004254	0.004252	16	pth	0
128	Full Picture	4.0	4.0	0.006666	0.00399	0.003989	16	pth	0
128	Full Picture	4.0	4.0	0.007531	0.007656	0.007652	16	pth	0
128	Full Picture	4.0	4.0	0.006334	0.004215	0.004211	16	pth	0
128	Full Picture	4.0	4.0	0.006921	0.004718	0.004715	16	pth	0
128	Full Picture	4.0	4.0	0.009231	0.010117	0.010114	32	pth	0
128	Full Picture	4.0	4.0	0.008573	0.005449	0.005447	32	pth	0
128	Full Picture	4.0	4.0	0.007592	0.005982	0.005981	32	pth	0
128	Full Picture	4.0	4.0	0.006862	0.009426	0.009425	32	pth	0
128	Full Picture	4.0	4.0	0.008918	0.013598	0.013596	32	pth	0
128	Full Picture	4.0	4.0	0.009152	0.009686	0.009683	32	pth	0
128	Full Picture	4.0	4.0	0.008036	0.006181	0.006178	32	pth	0
128	Full Picture	4.0	4.0	0.009191	0.009865	0.009863	32	pth	0
128	Full Picture	4.0	4.0	0.008931	0.009117	0.009115	32	pth	0
128	Full Picture	4.0	4.0	0.007471	0.011689	0.011687	32	pth	0
256	Full Picture	4.0	4.0	0.016428	0.016407	0.016404	1	pth	0
256	Full Picture	4.0	4.0	0.01652	0.016498	0.016495	1	pth	0
256	Full Picture	4.0	4.0	0.01657	0.016548	0.016545	1	pth	0
256	Full Picture	4.0	4.0	0.023434	0.023444	0.02344	1	pth	0
256	Full Picture	4.0	4.0	0.016445	0.016431	0.016426	1	pth	0
256	Full Picture	4.0	4.0	0.016398	0.016373	0.01637	1	pth	0
256	Full Picture	4.0	4.0	0.016414	0.016388	0.016385	1	pth	0
256	Full Picture	4.0	4.0	0.023434	0.023436	0.023432	1	pth	0
256	Full Picture	4.0	4.0	0.01645	0.016427	0.016425	1	pth	0
256	Full Picture	4.0	4.0	0.0166	0.016579	0.016576	1	pth	0
256	Full Picture	4.0	4.0	0.020474	0.018743	0.018738	2	pth	0
256	Full Picture	4.0	4.0	0.017227	0.012509	0.012505	2	pth	0
256	Full Picture	4.0	4.0	0.01695	0.017315	0.017312	2	pth	0
256	Full Picture	4.0	4.0	0.01685	0.017112	0.017108	2	pth	0
256	Full Picture	4.0	4.0	0.016959	0.017202	0.017198	2	pth	0
256	Full Picture	4.0	4.0	0.017192	0.017265	0.017262	2	pth	0
256	Full Picture	4.0	4.0	0.017462	0.017734	0.017731	2	pth	0
256	Full Picture	4.0	4.0	0.017604	0.017789	0.017786	2	pth	0
256	Full Picture	4.0	4.0	0.018179	0.018445	0.018442	2	pth	0
256	Full Picture	4.0	4.0	0.017971	0.018248	0.018245	2	pth	0
256	Full Picture	4.0	4.0	0.018139	0.016277	0.016274	4	pth	0
256	Full Picture	4.0	4.0	0.018243	0.018792	0.018788	4	pth	0
256	Full Picture	4.0	4.0	0.017872	0.016514	0.016511	4	pth	0
256	Full Picture	4.0	4.0	0.021216	0.015795	0.015792	4	pth	0
256	Full Picture	4.0	4.0	0.018554	0.012	0.011995	4	pth	0
256	Full Picture	4.0	4.0	0.021061	0.024106	0.024101	4	pth	0
256	Full Picture	4.0	4.0	0.019914	0.031521	0.031517	4	pth	0
