i_o	threads	method	region	size	delta_x	delta_y	mean_duration_clock	mean_duration_mono	mean_duration_sys	ci_duration_clock	ci_duration_mono	ci_duration_sys	repetitions
0	2	pth	Full Picture	64	4.0	4.0	0.001419	0.011705300000000002	0.0117043	0.00018835272537331532	0.008184177978233094	0.008184191329859725	10
1	2	pth	Full Picture	64	4.0	4.0	0.001419	0.011705300000000002	0.0117043	0.00018835272537331532	0.008184177978233094	0.008184191329859725	10
0	4	pth	Full Picture	64	4.0	4.0	0.0017611000000000003	0.014525199999999999	0.014523999999999999	0.00025991904137848604	0.008797301956249995	0.008797607587662052	10
1	4	pth	Full Picture	64	4.0	4.0	0.0017611000000000003	0.014525199999999999	0.014523999999999999	0.00025991904137848604	0.008797301956249995	0.008797607587662052	10
0	8	pth	Full Picture	64	4.0	4.0	0.0020575999999999997	0.0184582	0.018456999999999998	0.0001865405680750913	0.013662919173956282	0.01366302505583754	10
1	8	pth	Full Picture	64	4.0	4.0	0.0020575999999999997	0.0184582	0.018456999999999998	0.0001865405680750913	0.013662919173956282	0.01366302505583754	10
0	16	pth	Full Picture	64	4.0	4.0	0.0029312999999999995	0.0232096	0.0232084	0.00043284706544254443	0.016365882796014128	0.016366216712231194	10
1	16	pth	Full Picture	64	4.0	4.0	0.0029312999999999995	0.0232096	0.0232084	0.00043284706544254443	0.016365882796014128	0.016366216712231194	10
0	32	pth	Full Picture	64	4.0	4.0	0.004243499999999999	0.02497	0.024968399999999998	0.0005164865500238661	0.013955752080215687	0.013955629712984568	10
1	32	pth	Full Picture	64	4.0	4.0	0.004243499999999999	0.02497	0.024968399999999998	0.0005164865500238661	0.013955752080215687	0.013955629712984568	10
0	1	pth	Full Picture	128	4.0	4.0	0.0046612	0.018684100000000002	0.018682700000000003	0.0008452617504497254	0.013447602277897555	0.01344761759624259	10
1	1	pth	Full Picture	128	4.0	4.0	0.0046612	0.018684100000000002	0.018682700000000003	0.0008452617504497254	0.013447602277897555	0.01344761759624259	10
0	2	pth	Full Picture	128	4.0	4.0	0.0048215	0.012979000000000001	0.012977800000000001	0.00042248521246968584	0.01199315239386209	0.01199311224039013	10
1	2	pth	Full Picture	128	4.0	4.0	0.0048215	0.012979000000000001	0.012977800000000001	0.00042248521246968584	0.01199315239386209	0.01199311224039013	10
0	4	pth	Full Picture	128	4.0	4.0	0.0054392	0.0096215	0.0096196	0.0004734533165488558	0.01428957709417602	0.014290683204135483	10
1	4	pth	Full Picture	128	4.0	4.0	0.0054392	0.0096215	0.0096196	0.0004734533165488558	0.01428957709417602	0.014290683204135483	10
0	8	pth	Full Picture	128	4.0	4.0	0.0059042	0.0039021	0.0038997000000000003	0.0009110984801119043	0.0009500088750836896	0.0009500037529843998	10
1	8	pth	Full Picture	128	4.0	4.0	0.0059042	0.0039021	0.0038997000000000003	0.0009110984801119043	0.0009500088750836896	0.0009500037529843998	10
0	16	pth	Full Picture	128	4.0	4.0	0.0065187	0.0057415999999999995	0.005739199999999999	0.0009150413465922367	0.005268028642702864	0.005267937942022054	10
1	16	pth	Full Picture	128	4.0	4.0	0.0065187	0.0057415999999999995	0.005739199999999999	0.0009150413465922367	0.005268028642702864	0.005267937942022054	10
0	32	pth	Full Picture	128	4.0	4.0	0.0083957	0.009111000000000001	0.0091089	0.001662552995852396	0.005084909576401313	0.005084786803543816	10
1	32	pth	Full Picture	128	4.0	4.0	0.0083957	0.009111000000000001	0.0091089	0.001662552995852396	0.005084909576401313	0.005084786803543816	10
0	1	pth	Full Picture	256	4.0	4.0	0.017869299999999998	0.017853100000000004	0.0178498	0.005749878844499055	0.0057728348815911535	0.005772113723860033	10
1	1	pth	Full Picture	256	4.0	4.0	0.017869299999999998	0.017853100000000004	0.0178498	0.005749878844499055	0.0057728348815911535	0.005772113723860033	10
0	2	pth	Full Picture	256	4.0	4.0	0.017686800000000003	0.017236199999999997	0.0172327	0.002104701910362711	0.0034372306648644407	0.0034374634063338684	10
1	2	pth	Full Picture	256	4.0	4.0	0.017686800000000003	0.017236199999999997	0.0172327	0.002104701910362711	0.0034372306648644407	0.0034374634063338684	10
0	4	pth	Full Picture	256	4.0	4.0	0.0191276	0.0238994	0.0238957	0.0024610897912880425	0.022127601097988808	0.022127821831025705	10
1	4	pth	Full Picture	256	4.0	4.0	0.0191276	0.0238994	0.0238957	0.0024610897912880425	0.022127601097988808	0.022127821831025705	10
0	8	pth	Full Picture	256	4.0	4.0	0.019622399999999998	0.0252357	0.0252326	0.0016122207529243636	0.00828759980207217	0.008287606814337229	10
1	8	pth	Full Picture	256	4.0	4.0	0.019622399999999998	0.0252357	0.0252326	0.0016122207529243636	0.00828759980207217	0.008287606814337229	10
0	16	pth	Full Picture	256	4.0	4.0	0.0212157	0.0265448	0.026541799999999997	0.0025611155078676174	0.0092921942788663	0.009291572241281404	10
1	16	pth	Full Picture	256	4.0	4.0	0.0212157	0.0265448	0.026541799999999997	0.0025611155078676174	0.0092921942788663	0.009291572241281404	10
0	32	pth	Full Picture	256	4.0	4.0	0.022446400000000002	0.030582500000000002	0.030579799999999997	0.001969991916797855	0.006400208944957274	0.006400445401356934	10
1	32	pth	Full Picture	256	4.0	4.0	0.022446400000000002	0.030582500000000002	0.030579799999999997	0.001969991916797855	0.006400208944957274	0.006400445401356934	10
0	1	pth	Full Picture	512	4.0	4.0	0.0735117	0.1713437	0.1713407	0.008981313049384257	0.0371602116757662	0.037159833087026396	10
1	1	pth	Full Picture	512	4.0	4.0	0.0735117	0.1713437	0.1713407	0.008981313049384257	0.0371602116757662	0.037159833087026396	10
0	2	pth	Full Picture	512	4.0	4.0	0.0749504	0.1038815	0.103878	0.0071247070428150094	0.027018671672254104	0.027018958608187205	10
1	2	pth	Full Picture	512	4.0	4.0	0.0749504	0.1038815	0.103878	0.0071247070428150094	0.027018671672254104	0.027018958608187205	10
0	4	pth	Full Picture	512	4.0	4.0	0.0762942	0.09700990000000001	0.0970064	0.003936385415312432	0.02159014970304704	0.021590887079384617	10
1	4	pth	Full Picture	512	4.0	4.0	0.0762942	0.09700990000000001	0.0970064	0.003936385415312432	0.02159014970304704	0.021590887079384617	10
0	8	pth	Full Picture	512	4.0	4.0	0.07945179999999999	0.0518908	0.0518865	0.008852775095227734	0.03198493848465165	0.031986293757383016	10
1	8	pth	Full Picture	512	4.0	4.0	0.07945179999999999	0.0518908	0.0518865	0.008852775095227734	0.03198493848465165	0.031986293757383016	10
0	16	pth	Full Picture	512	4.0	4.0	0.0861901	0.0342697	0.034265699999999996	0.008378283974656278	0.0034515750317042856	0.0034516353804627483	10
1	16	pth	Full Picture	512	4.0	4.0	0.0861901	0.0342697	0.034265699999999996	0.008378283974656278	0.0034515750317042856	0.0034516353804627483	10
0	32	pth	Full Picture	512	4.0	4.0	0.0797583	0.0251887	0.025184099999999997	0.007299806863224079	0.006498972707198165	0.006499223161741376	10
1	32	pth	Full Picture	512	4.0	4.0	0.0797583	0.0251887	0.025184099999999997	0.007299806863224079	0.006498972707198165	0.006499223161741376	10
0	1	pth	Full Picture	1024	4.0	4.0	0.26795939999999996	0.27057390000000003	0.27057	0.003486266520324846	0.0050638995899278194	0.005063822930307808	10
1	1	pth	Full Picture	1024	4.0	4.0	0.26795939999999996	0.27057390000000003	0.27057	0.003486266520324846	0.0050638995899278194	0.005063822930307808	10
0	2	pth	Full Picture	1024	4.0	4.0	0.27337920000000004	0.1784932	0.1784893	0.007843271417685649	0.04094694839815724	0.04094753509862124	10
1	2	pth	Full Picture	1024	4.0	4.0	0.27337920000000004	0.1784932	0.1784893	0.007843271417685649	0.04094694839815724	0.04094753509862124	10
0	4	pth	Full Picture	1024	4.0	4.0	0.2919485	0.1926184	0.19261440000000002	0.03875266953100967	0.12191383565047453	0.12191469946992019	10
1	4	pth	Full Picture	1024	4.0	4.0	0.2919485	0.1926184	0.19261440000000002	0.03875266953100967	0.12191383565047453	0.12191469946992019	10
