i_o	threads	method	region	size	delta_x	delta_y	mean_duration_clock	mean_duration_mono	mean_duration_sys	ci_duration_clock	ci_duration_mono	ci_duration_sys	repetitions
1	2	seq	Full Picture	64	4.0	4.0	0.0015000999999999999	0.0014954999999999999	0.0014941999999999998	3.370148931756906e-5	4.173414376209906e-5	4.203528591816906e-5	10
0	4	seq	Full Picture	64	4.0	4.0	0.001494	0.0014881999999999999	0.0014868	1.534985776264176e-5	1.5176470677407899e-5	1.4515178875156172e-5	10
1	4	seq	Full Picture	64	4.0	4.0	0.001494	0.0014881999999999999	0.0014868	1.534985776264176e-5	1.5176470677407899e-5	1.4515178875156172e-5	10
0	8	seq	Full Picture	64	4.0	4.0	0.0014957999999999998	0.0014902000000000001	0.0014891000000000001	2.563532146602933e-5	2.601546753589317e-5	2.6400649486960275e-5	10
1	8	seq	Full Picture	64	4.0	4.0	0.0014957999999999998	0.0014902000000000001	0.0014891000000000001	2.563532146602933e-5	2.601546753589317e-5	2.6400649486960275e-5	10
0	16	seq	Full Picture	64	4.0	4.0	0.0014925	0.001487	0.0014857	1.4111092563417408e-5	1.4133760999818794e-5	1.4165435868102865e-5	10
1	16	seq	Full Picture	64	4.0	4.0	0.0014925	0.001487	0.0014857	1.4111092563417408e-5	1.4133760999818794e-5	1.4165435868102865e-5	10
0	32	seq	Full Picture	64	4.0	4.0	0.0014502	0.0014427000000000003	0.0014412000000000001	0.0002554772265040902	0.0002577597482928627	0.0002574113434779267	10
1	32	seq	Full Picture	64	4.0	4.0	0.0014502	0.0014427000000000003	0.0014412000000000001	0.0002554772265040902	0.0002577597482928627	0.0002574113434779267	10
0	1	seq	Full Picture	128	4.0	4.0	0.006868299999999999	0.0068617	0.00686065	0.0033178549476266324	0.003319427370758872	0.003319538663857723	10
1	1	seq	Full Picture	128	4.0	4.0	0.006868299999999999	0.0068617	0.00686065	0.0033178549476266324	0.003319427370758872	0.003319538663857723	10
0	2	seq	Full Picture	128	4.0	4.0	0.0058192	0.005814000000000001	0.0058129	7.150822125229171e-5	6.854709070737035e-5	6.862457337653275e-5	10
1	2	seq	Full Picture	128	4.0	4.0	0.0058192	0.005814000000000001	0.0058129	7.150822125229171e-5	6.854709070737035e-5	6.862457337653275e-5	10
0	4	seq	Full Picture	128	4.0	4.0	0.005815700000000001	0.005809	0.005807799999999999	5.149369255873315e-5	5.030242406352465e-5	5.0503976697109746e-5	10
1	4	seq	Full Picture	128	4.0	4.0	0.005815700000000001	0.005809	0.005807799999999999	5.149369255873315e-5	5.030242406352465e-5	5.0503976697109746e-5	10
0	8	seq	Full Picture	128	4.0	4.0	0.0058259	0.0058198	0.0058188	3.084466861910203e-5	3.094621455938598e-5	3.0946214559385895e-5	10
1	8	seq	Full Picture	128	4.0	4.0	0.0058259	0.0058198	0.0058188	3.084466861910203e-5	3.094621455938598e-5	3.0946214559385895e-5	10
0	16	seq	Full Picture	128	4.0	4.0	0.0058251000000000015	0.0058192	0.0058177	4.6413804268414614e-5	4.700187343783918e-5	4.71944593734856e-5	10
1	16	seq	Full Picture	128	4.0	4.0	0.0058251000000000015	0.0058192	0.0058177	4.6413804268414614e-5	4.700187343783918e-5	4.71944593734856e-5	10
0	32	seq	Full Picture	128	4.0	4.0	0.005813399999999999	0.0058076	0.0058066	4.4332409814942285e-5	4.430351558661371e-5	4.4467001298091e-5	10
1	32	seq	Full Picture	128	4.0	4.0	0.005813399999999999	0.0058076	0.0058066	4.4332409814942285e-5	4.430351558661371e-5	4.4467001298091e-5	10
0	1	seq	Full Picture	256	4.0	4.0	0.02816095	0.0283531	0.028351849999999994	0.01022851946989891	0.010735180018030439	0.01073529698538542	10
1	1	seq	Full Picture	256	4.0	4.0	0.02816095	0.0283531	0.028351849999999994	0.01022851946989891	0.010735180018030439	0.01073529698538542	10
0	2	seq	Full Picture	256	4.0	4.0	0.0230181	0.023009800000000004	0.0230087	0.00018962531518760907	0.00019137827374658212	0.00019137437055851257	10
1	2	seq	Full Picture	256	4.0	4.0	0.0230181	0.023009800000000004	0.0230087	0.00018962531518760907	0.00019137827374658212	0.00019137437055851257	10
0	4	seq	Full Picture	256	4.0	4.0	0.023037	0.023029699999999997	0.023028299999999998	0.00016230830361451773	0.00016225582987643085	0.00016188975129183766	10
1	4	seq	Full Picture	256	4.0	4.0	0.023037	0.023029699999999997	0.023028299999999998	0.00016230830361451773	0.00016225582987643085	0.00016188975129183766	10
0	8	seq	Full Picture	256	4.0	4.0	0.0231121	0.0231041	0.0231029	0.0003189999269662047	0.0003186183486102314	0.0003188620759025588	10
1	8	seq	Full Picture	256	4.0	4.0	0.0231121	0.0231041	0.0231029	0.0003189999269662047	0.0003186183486102314	0.0003188620759025588	10
0	16	seq	Full Picture	256	4.0	4.0	0.023049399999999998	0.023041700000000002	0.023040300000000003	0.00018966976700453774	0.00018880553386428493	0.00018882587962929724	10
1	16	seq	Full Picture	256	4.0	4.0	0.023049399999999998	0.023041700000000002	0.023040300000000003	0.00018966976700453774	0.00018880553386428493	0.00018882587962929724	10
0	32	seq	Full Picture	256	4.0	4.0	0.0230242	0.0230162	0.023014899999999998	0.00015762754953793336	0.00015752190484712522	0.0001576320175598851	10
